Id,SalePrice
1461,130324.91
1462,169689.66
1463,199865.38
1464,205263.9
1465,170649.42
1466,174535.88
1467,164251.83
1468,165551.69
1469,157976.0
1470,129897.586
1471,133387.56
1472,104747.58
1473,109242.8
1474,143774.11
1475,124365.74
1476,380908.84
1477,252126.34
1478,269810.6
1479,289928.34
1480,541226.25
1481,314280.44
1482,191163.0
1483,181624.75
1484,165702.3
1485,192580.9
1486,194946.11
1487,343154.47
1488,249187.47
1489,208905.17
1490,261533.19
1491,181097.03
1492,122682.38
1493,205374.98
1494,301980.44
1495,299631.47
1496,229478.88
1497,187722.06
1498,165529.94
1499,170101.2
1500,170444.25
1501,189231.89
1502,151079.39
1503,336122.66
1504,234580.31
1505,228846.78
1506,193020.28
1507,241317.34
1508,178621.52
1509,171124.62
1510,155137.38
1511,139751.89
1512,170753.25
1513,156963.08
1514,175302.4
1515,198814.36
1516,143363.6
1517,158272.25
1518,115929.805
1519,220969.75
1520,148076.19
1521,145236.16
1522,172493.22
1523,119555.125
1524,141178.75
1525,129068.92
1526,111332.86
1527,131436.44
1528,137316.83
1529,158687.11
1530,173853.1
1531,123134.41
1532,91972.73
1533,198300.58
1534,95307.64
1535,183920.78
1536,102211.83
1537,61520.715
1538,125762.555
1539,240987.58
1540,73118.66
1541,142178.88
1542,146279.23
1543,184329.22
1544,82810.29
1545,107756.375
1546,114722.516
1547,127395.01
1548,114721.78
1549,97754.94
1550,144109.38
1551,126219.57
1552,145588.34
1553,144474.81
1554,112003.06
1555,172556.56
1556,50992.7
1557,117760.94
1558,114694.8
1559,71369.125
1560,123315.45
1561,153401.62
1562,135713.06
1563,106842.48
1564,168771.39
1565,144718.12
1566,327644.38
1567,75195.83
1568,211801.34
1569,151222.5
1570,132728.1
1571,109774.25
1572,176798.28
1573,223558.69
1574,151430.62
1575,194239.0
1576,224962.23
1577,191315.16
1578,143558.81
1579,149957.61
1580,193950.94
1581,143100.03
1582,129372.03
1583,274170.38
1584,219850.0
1585,145742.1
1586,82904.26
1587,96326.54
1588,127719.55
1589,114589.125
1590,127567.625
1591,96201.08
1592,112994.01
1593,123361.29
1594,167559.1
1595,114841.266
1596,289987.56
1597,226484.02
1598,237350.61
1599,130836.26
1600,135137.34
1601,99619.48
1602,141944.17
1603,30009.34
1604,226000.78
1605,243960.06
1606,161217.9
1607,154587.83
1608,185560.6
1609,184091.78
1610,173009.6
1611,147682.1
1612,199710.56
1613,156011.6
1614,83085.41
1615,81238.016
1616,62378.03
1617,79451.21
1618,125174.82
1619,181684.97
1620,224876.97
1621,157429.25
1622,141567.58
1623,212060.69
1624,205907.52
1625,116877.45
1626,166596.62
